year,state_name,county_name,Value
2019,ILLINOIS,MACON,5.192047327899126
2018,ILLINOIS,MACON,6.093797230738749
2017,ILLINOIS,MACON,5.499404337036012
2016,ILLINOIS,MACON,5.458762087893945
2015,ILLINOIS,MACON,5.270791685611882
2014,ILLINOIS,MACON,5.99473174845496
2013,ILLINOIS,MACON,4.894850881047757
2021,ILLINOIS,MARSHALL,5.448601525608427
2020,ILLINOIS,MARSHALL,5.232689577041193
2019,ILLINOIS,MARSHALL,4.696719916480179
2018,ILLINOIS,MARSHALL,5.433360682180152
2017,ILLINOIS,MARSHALL,5.86010429817186
2016,ILLINOIS,MARSHALL,5.476543071893599
2015,ILLINOIS,MARSHALL,5.039638893616373
2014,ILLINOIS,MARSHALL,5.265711404469124
2013,ILLINOIS,MARSHALL,4.856748772477069
2021,ILLINOIS,MASON,5.014237487902581
2020,ILLINOIS,MASON,4.943113551903962
2019,ILLINOIS,MASON,4.292837565630882
2017,ILLINOIS,MASON,5.126003673043266
2016,ILLINOIS,MASON,5.044719174759131
2015,ILLINOIS,MASON,4.10232702277744
2014,ILLINOIS,MASON,4.971055098189134
2013,ILLINOIS,MASON,4.1480495530622665
2021,ILLINOIS,MENARD,5.105682548472233
2020,ILLINOIS,MENARD,5.466382509608081
2017,ILLINOIS,MENARD,5.606090241033939
2016,ILLINOIS,MENARD,5.316514215896708
2015,ILLINOIS,MENARD,4.780544555335692
2014,ILLINOIS,MENARD,5.656893052461523
2021,ILLINOIS,PEORIA,5.461302228465324
2020,ILLINOIS,PEORIA,5.425740260466014
2019,ILLINOIS,PEORIA,4.912631865047412
2018,ILLINOIS,PEORIA,5.814381767887035
2017,ILLINOIS,PEORIA,5.783900081030484
2016,ILLINOIS,PEORIA,5.451141666179806
2015,ILLINOIS,PEORIA,4.722121322193971
2014,ILLINOIS,PEORIA,5.286032529040157
2013,ILLINOIS,PEORIA,4.584953731339493
2021,ILLINOIS,STARK,5.517185321035666
2020,ILLINOIS,STARK,5.367317027324293
2019,ILLINOIS,STARK,5.153945219328438
2018,ILLINOIS,STARK,5.943928937027375
2017,ILLINOIS,STARK,5.852483876457724
2016,ILLINOIS,STARK,5.7330972696029
2015,ILLINOIS,STARK,5.357156465038775
2014,ILLINOIS,STARK,5.260631123326365
2013,ILLINOIS,STARK,4.88723045933362
2021,ILLINOIS,TAZEWELL,5.202207890184643
2020,ILLINOIS,TAZEWELL,4.976135379331892
2019,ILLINOIS,TAZEWELL,5.222529014755676
2018,ILLINOIS,TAZEWELL,5.979490905026685
2017,ILLINOIS,TAZEWELL,5.788980362173243
2016,ILLINOIS,TAZEWELL,5.99473174845496
2015,ILLINOIS,TAZEWELL,4.635756542767077
2014,ILLINOIS,TAZEWELL,5.70007544217497
2013,ILLINOIS,TAZEWELL,4.498588951912599
2021,ILLINOIS,WOODFORD,5.593389538177043
2020,ILLINOIS,WOODFORD,5.0472593153305105
2019,ILLINOIS,WOODFORD,4.663698089052248
2018,ILLINOIS,WOODFORD,5.682294458175315
2017,ILLINOIS,WOODFORD,5.4409811038942895
2016,ILLINOIS,WOODFORD,5.913447250170825
2015,ILLINOIS,WOODFORD,5.105682548472233
2014,ILLINOIS,WOODFORD,5.524805742749804
2013,ILLINOIS,WOODFORD,4.884690318762241
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,4.290297425059503
2021,ILLINOIS,CHAMPAIGN,5.649272630747386
2020,ILLINOIS,CHAMPAIGN,4.894850881047757
2019,ILLINOIS,CHAMPAIGN,4.59257415305363
2018,ILLINOIS,CHAMPAIGN,5.621331084462215
2017,ILLINOIS,CHAMPAIGN,5.253010701612228
2016,ILLINOIS,CHAMPAIGN,5.339375481039121
2015,ILLINOIS,CHAMPAIGN,4.811026242192243
2014,ILLINOIS,CHAMPAIGN,5.499404337036012
2013,ILLINOIS,CHAMPAIGN,4.269976300488469
2021,ILLINOIS,FORD,5.054879737044648
2020,ILLINOIS,FORD,4.859288913048449
2019,ILLINOIS,FORD,4.282677003345365
2018,ILLINOIS,FORD,5.123463532471887
2017,ILLINOIS,FORD,5.395258573609464
2016,ILLINOIS,FORD,5.181886765613609
2015,ILLINOIS,FORD,4.084546038777787
2014,ILLINOIS,FORD,5.108222689043612
2013,ILLINOIS,FORD,4.165830537061921
2021,ILLINOIS,IROQUOIS,4.932952989618445
2020,ILLINOIS,IROQUOIS,4.831347366763277
2019,ILLINOIS,IROQUOIS,3.87625451192469
2018,ILLINOIS,IROQUOIS,4.9786755199032715
2017,ILLINOIS,IROQUOIS,5.054879737044648
2016,ILLINOIS,IROQUOIS,4.91771214619017
2015,ILLINOIS,IROQUOIS,3.1319933245105784
2014,ILLINOIS,IROQUOIS,4.729741743908107
2013,ILLINOIS,IROQUOIS,4.43000515648536
2021,ILLINOIS,KANKAKEE,4.85166849133431
2020,ILLINOIS,KANKAKEE,4.374122063915017
2018,ILLINOIS,KANKAKEE,4.615435418196043
2017,ILLINOIS,KANKAKEE,4.976135379331892
2016,ILLINOIS,KANKAKEE,4.9659748170463756
2015,ILLINOIS,KANKAKEE,2.3496300285257785
2014,ILLINOIS,KANKAKEE,4.427465015913981
2013,ILLINOIS,KANKAKEE,4.371581923343638
2021,ILLINOIS,LIVINGSTON,5.296193091325674
2020,ILLINOIS,LIVINGSTON,4.607814996481905
2019,ILLINOIS,LIVINGSTON,4.541771341626046
2018,ILLINOIS,LIVINGSTON,5.270791685611882
2017,ILLINOIS,LIVINGSTON,5.331755059324983
2016,ILLINOIS,LIVINGSTON,5.453681806751185
2015,ILLINOIS,LIVINGSTON,4.722121322193971
2014,ILLINOIS,LIVINGSTON,5.37493744903843
2013,ILLINOIS,LIVINGSTON,4.549391763340183
2021,ILLINOIS,PIATT,5.405419135894981
2020,ILLINOIS,PIATT,5.349536043324638
2019,ILLINOIS,PIATT,5.072660721044302
2018,ILLINOIS,PIATT,6.142059901594955
2017,ILLINOIS,PIATT,5.50448461817877
2016,ILLINOIS,PIATT,5.555287429606354
2015,ILLINOIS,PIATT,5.60100995989118
2014,ILLINOIS,PIATT,5.974410623883926
2013,ILLINOIS,PIATT,4.7602234307646585
2021,ILLINOIS,VERMILION,5.001536785045685
2020,ILLINOIS,VERMILION,4.826267085620518
2018,ILLINOIS,VERMILION,5.557827570177734
2017,ILLINOIS,VERMILION,4.932952989618445
2016,ILLINOIS,VERMILION,5.17934662504223
2015,ILLINOIS,VERMILION,4.26743615991709
2014,ILLINOIS,VERMILION,5.181886765613609
2013,ILLINOIS,VERMILION,4.493508670769841
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,4.523990357626391
2018,ILLINOIS,OTHER (COMBINED) COUNTIES,5.032018471902235
2016,ILLINOIS,OTHER (COMBINED) COUNTIES,4.23441433248916
2013,ILLINOIS,OTHER (COMBINED) COUNTIES,4.059144633063994
2021,ILLINOIS,BOND,5.2504705610408475
2020,ILLINOIS,BOND,4.714500900479832
2019,ILLINOIS,BOND,4.668778370195007
2017,ILLINOIS,BOND,4.336019955344328
2015,ILLINOIS,BOND,4.061684773635373
2014,ILLINOIS,BOND,4.62559598048156
2021,ILLINOIS,CALHOUN,4.605274855910526
2020,ILLINOIS,CALHOUN,4.485888249055702
2019,ILLINOIS,CALHOUN,4.341100236487088
2017,ILLINOIS,CALHOUN,3.9626192913515834
2015,ILLINOIS,CALHOUN,3.9346777450664123
2014,ILLINOIS,CALHOUN,5.034558612473615
2021,ILLINOIS,CASS,5.3596966056101545
2020,ILLINOIS,CASS,5.202207890184643
2019,ILLINOIS,CASS,5.222529014755676
2018,ILLINOIS,CASS,5.677214177032557
2017,ILLINOIS,CASS,4.945653692475341
2016,ILLINOIS,CASS,5.138704375900163
2015,ILLINOIS,CASS,4.628136121052939
2014,ILLINOIS,CASS,5.291112810182916
2013,ILLINOIS,CASS,4.676398791909144
2021,ILLINOIS,CHRISTIAN,5.552747289034976
2020,ILLINOIS,CHRISTIAN,5.032018471902235
2019,ILLINOIS,CHRISTIAN,5.0472593153305105
2018,ILLINOIS,CHRISTIAN,5.915987390742204
2017,ILLINOIS,CHRISTIAN,5.588309257034284
2016,ILLINOIS,CHRISTIAN,5.161565641042575
2015,ILLINOIS,CHRISTIAN,4.818646663906381
2014,ILLINOIS,CHRISTIAN,5.532426164463942
2013,ILLINOIS,CHRISTIAN,5.0752008616156825
2021,ILLINOIS,GREENE,4.988836082188788
